2018,POPL,"Inference of static semantics for incomplete C programs.",Leandro T. C. Melo; Rodrigo G. Ribeiro; Marcus R. de Araújo; Fernando Magno Quintão Pereira,http://doi.acm.org/10.1145/3158117,top
2018,CGO,"Qubit allocation.",Marcos Yukio Siraichi; Vinícius Fernandes dos Santos; Sylvain Collange; Fernando Magno Quintão Pereira,http://doi.acm.org/10.1145/3168822,null
2017,OOPSLA,"Static placement of computation on heterogeneous devices.",Gabriel Poesia; Breno Campos Ferreira Guimarães; Fabricio Ferracioli; Fernando Magno Quintão Pereira,http://doi.acm.org/10.1145/3133874,null
2017,CGO,"Pointer disambiguation via strict inequalities.",Maroua Maalej; Vitor Paisante; Pedro Ramos; Laure Gonnord; Fernando Magno Quintão Pereira,http://dl.acm.org/citation.cfm?id=3049848,null
2017,PPoPP,"Function Call Re-Vectorization.",Rubens E. A. Moreira; Sylvain Collange; Fernando Magno Quintão Pereira,http://dl.acm.org/citation.cfm?id=3018751,null
2016,CGO,"Inference of peak density of indirect branches to detect ROP attacks.",Mateus Tymburibá; Rubens E. A. Moreira; Fernando Magno Quintão Pereira,http://doi.acm.org/10.1145/2854038.2854049,null
2016,CGO,"Symbolic range analysis of pointers.",Vitor Paisante; Maroua Maalej; Leonardo Barbosa; Laure Gonnord; Fernando Magno Quintão Pereira,http://doi.acm.org/10.1145/2854038.2854050,null
2015,OOPSLA,"Runtime pointer disambiguation.",Péricles Alves; Fabian Gruber; Johannes Doerfert; Alexandros Lamprineas; Tobias Grosser; Fabrice Rastello; Fernando Magno Quintão Pereira,http://doi.acm.org/10.1145/2814270.2814285,null
2014,OOPSLA,"Validation of memory accesses through symbolic analyses.",Henrique Nazaré; Izabela Maffra; Willer Santos; Leonardo Barbosa; Laure Gonnord; Fernando Magno Quintão Pereira,http://doi.acm.org/10.1145/2660193.2660205,null
2013,CGO,"Just-in-time value specialization.",Igor Rafael de Assis Costa; Péricles Rafael Oliveira Alves; Henrique Nazaré Santos; Fernando Magno Quintão Pereira,https://doi.org/10.1109/CGO.2013.6495006,null
2013,CGO,"A fast and low-overhead technique to secure programs against integer overflows.",Raphael Ernani Rodrigues; Victor Hugo Sperle Campos; Fernando Magno Quintão Pereira,https://doi.org/10.1109/CGO.2013.6494996,null
